fm_name,fm_slug,mg,eq,main,clase,score,fedb_id,fedb_name,img
Hidrante,hidrante,gluteos,BODYWEIGHT,False,HUERFANO,0,,,
Hip Thrust con Barra,hip-thrust,gluteos,BARBELL,False,DIRECTO,1.3,Barbell_Hip_Thrust,Barbell Hip Thrust,Barbell_Hip_Thrust/0.jpg
Hip Thrust en Máquina Smith,hip-thrust-smith,gluteos,SMITH_MACHINE,False,DIRECTO,0.95,Barbell_Hip_Thrust,Barbell Hip Thrust,Barbell_Hip_Thrust/0.jpg
Patadas de Burro,patada-burro,gluteos,BODYWEIGHT,False,HUERFANO,0.47,,,
Patadas de Glúteo en Polea,patada-gluteo-polea,gluteos,CABLE,False,DIRECTO,0.97,One-Legged_Cable_Kickback,One-Legged Cable Kickback,One-Legged_Cable_Kickback/0.jpg
Peso Muerto a Una Pierna con Peso Corporal,peso-muerto-una-pierna-sin-peso,gluteos,BODYWEIGHT,False,DIRECTO,1.12,Single_Leg_Glute_Bridge,Single Leg Glute Bridge,Single_Leg_Glute_Bridge/0.jpg
Peso Muerto con Balón Medicinal,peso-muerto-balon-medicinal,gluteos,BODYWEIGHT,False,PROBABLE,0.65,Axle_Deadlift,Axle Deadlift,Axle_Deadlift/0.jpg
Peso Muerto Sumo con Kettlebell,peso-muerto-sumo-kettlebell,gluteos,KETTLEBELL,False,HUERFANO,0.47,,,
Puente de Glúteos,puente-gluteos,gluteos,BODYWEIGHT,False,DIRECTO,1.3,Single_Leg_Glute_Bridge,Single Leg Glute Bridge,Single_Leg_Glute_Bridge/0.jpg
Puente de Glúteos a Una Pierna,puente-gluteos-una-pierna,gluteos,BODYWEIGHT,False,DIRECTO,1.45,Single_Leg_Glute_Bridge,Single Leg Glute Bridge,Single_Leg_Glute_Bridge/0.jpg
Puente de Glúteos con Banda,puente-gluteos-banda,gluteos,RESISTANCE_BAND,False,DIRECTO,0.95,Barbell_Glute_Bridge,Barbell Glute Bridge,Barbell_Glute_Bridge/0.jpg
Zancadas con Mancuernas,zancadas-mancuernas,gluteos,DUMBBELL,False,PROBABLE,0.65,Dumbbell_Rear_Lunge,Dumbbell Rear Lunge,Dumbbell_Rear_Lunge/0.jpg
Elevaciones de Pantorrillas de Pie,elevaciones-pantorrillas-pie,pantorrillas,BODYWEIGHT,False,DIRECTO,1.1,Rocking_Standing_Calf_Raise,Rocking Standing Calf Raise,Rocking_Standing_Calf_Raise/0.jpg
Elevaciones de Pantorrillas Sentado en Máquina,elevaciones-pantorrillas-sentado,pantorrillas,MACHINE,False,DIRECTO,1.45,Seated_Calf_Raise,Seated Calf Raise,Seated_Calf_Raise/0.jpg
